date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:59	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202024%2007:13:27%20GMT	https://web.archive.org/robots.txt		(from )
13:14:02	351200/351200	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202024%2007:13:29%20GMT	https://web.archive.org/web/20150503010613/https://www.youtube.com/	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web.archive.org/web/20150503010613/https_/www.youtube.com/index.html	(from )
13:14:03	31445/31445	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202024%2016:04:37%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=t1Bf4PY_	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web-static.archive.org/_static/js/bundle-playback8833.js	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:05	9867/9867	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Feb%202024%2016:03:46%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web-static.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:05	126763/126763	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202024%2016:03:00%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:05	5825/5825	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Feb%202024%2016:05:08%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:06	39272/39272	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202024%2016:04:37%20GMT	https://web-static.archive.org/_static/js/jwplayer/jwplayer.js?v=hiYhl5rb	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web-static.archive.org/_static/js/jwplayer/jwplayere5ef.js	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:06	18137/18137	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202024%2016:04:30%20GMT	https://web-static.archive.org/_static/js/bundle-video.js?v=6WxURWDU	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web-static.archive.org/_static/js/bundle-video532a.js	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2007%20Mar%202024%2007:13:35%20GMT	http://web.archive.org/web/20150503010613js_/https://s.ytimg.com/yts/jsbin/www-scheduler-vflT6_K1f/www-scheduler.js	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web.archive.org/web/20150503010613js_/https_/s.ytimg.com/yts/jsbin/www-scheduler-vflT6_K1f/www-scheduler.6.delayed	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
13:14:08	5308/5308	---M--	200	added ('OK')	text/javascript	date:Thu,%2007%20Mar%202024%2007:13:36%20GMT	http://web.archive.org/web/20150503010717js_/https://s.ytimg.com/yts/jsbin/www-scheduler-vflT6_K1f/www-scheduler.js	C:/My%20Web%20Sites/https___web.archive.org_web_20150503010613_https___www.youtube.com_/web.archive.org/web/20150503010717js_/https_/s.ytimg.com/yts/jsbin/www-scheduler-vflT6_K1f/www-scheduler.js	(from https://web.archive.org/web/20150503010613/https://www.youtube.com/)
